"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 09, 2019","319.96","317.71","323.35","313.50","13.34M","-0.10%"
"Jan 08, 2019","320.27","319.98","320.59","308.01","15.36M","1.56%"
"Jan 07, 2019","315.34","302.10","316.80","301.65","18.62M","5.97%"
"Jan 04, 2019","297.57","281.88","297.80","278.54","19.33M","9.72%"
"Jan 03, 2019","271.20","270.20","275.79","264.43","14.97M","1.32%"
"Jan 02, 2019","267.66","259.28","269.75","256.58","11.68M","0.00%"
"Dec 31, 2018","267.66","260.16","270.10","260.00","13.51M","4.52%"
"Dec 28, 2018","256.08","257.94","261.91","249.80","10.99M","0.20%"
"Dec 27, 2018","255.56","250.11","255.59","240.10","12.24M","0.75%"
"Dec 26, 2018","253.67","233.92","254.50","231.23","14.40M","8.46%"
"Dec 24, 2018","233.88","242.00","250.65","233.68","9.55M","-5.08%"
"Dec 21, 2018","246.39","263.83","264.50","241.29","21.40M","-5.45%"
"Dec 20, 2018","260.58","264.64","269.90","251.88","16.79M","-2.32%"
"Dec 19, 2018","266.77","269.96","280.87","263.77","13.79M","-1.54%"
"Dec 18, 2018","270.94","263.30","275.75","263.29","10.35M","3.10%"
"Dec 17, 2018","262.80","266.51","272.98","261.07","9.63M","-1.51%"
"Dec 14, 2018","266.84","271.81","277.67","265.00","9.92M","-3.33%"
"Dec 13, 2018","276.02","277.64","279.32","271.85","8.38M","0.41%"
"Dec 12, 2018","274.88","267.66","281.77","266.48","11.46M","3.60%"
"Dec 11, 2018","265.32","274.08","274.50","262.76","9.84M","-1.62%"
"Dec 10, 2018","269.70","264.19","271.18","260.61","9.61M","1.72%"
"Dec 07, 2018","265.14","282.48","284.21","263.38","12.47M","-6.27%"
"Dec 06, 2018","282.88","268.33","283.22","267.14","13.07M","2.74%"
"Dec 04, 2018","275.33","288.13","295.74","274.72","12.80M","-5.16%"
"Dec 03, 2018","290.30","293.19","298.72","284.58","14.12M","1.46%"
"Nov 30, 2018","286.13","288.00","290.81","283.06","11.86M","-0.91%"
"Nov 29, 2018","288.75","282.32","290.49","275.50","15.43M","2.16%"
"Nov 28, 2018","282.65","271.98","284.00","263.34","14.80M","6.01%"
"Nov 27, 2018","266.63","259.24","269.08","256.14","11.15M","1.99%"
"Nov 26, 2018","261.43","260.55","266.25","253.80","12.50M","1.01%"
"Nov 23, 2018","258.82","260.11","265.50","256.84","5.25M","-1.26%"
"Nov 21, 2018","262.13","274.42","275.34","261.51","11.02M","-1.82%"
"Nov 20, 2018","266.98","254.63","276.34","250.00","16.69M","-1.34%"
"Nov 19, 2018","270.60","283.79","285.09","269.15","12.99M","-5.45%"
"Nov 16, 2018","286.21","287.14","291.72","281.00","9.10M","-1.33%"
"Nov 15, 2018","290.06","285.51","292.50","282.16","9.97M","1.16%"
"Nov 14, 2018","286.73","300.40","301.84","278.30","16.85M","-2.61%"
"Nov 13, 2018","294.40","295.00","303.55","289.10","12.23M","0.11%"
"Nov 12, 2018","294.07","300.00","302.49","290.63","10.92M","-3.10%"
"Nov 09, 2018","303.47","311.07","312.98","298.01","13.48M","-4.55%"
"Nov 08, 2018","317.92","328.00","332.05","316.61","11.02M","-2.93%"
"Nov 07, 2018","327.50","312.90","328.56","311.00","13.33M","5.36%"
"Nov 06, 2018","310.84","314.76","320.22","305.30","9.71M","-1.46%"
"Nov 05, 2018","315.44","311.10","317.53","303.74","10.28M","2.05%"
"Nov 02, 2018","309.10","318.00","321.88","308.33","13.40M","-2.61%"
"Nov 01, 2018","317.38","304.59","318.45","296.67","15.12M","5.17%"
"Oct 31, 2018","301.78","297.77","311.50","295.05","20.36M","5.59%"
"Oct 30, 2018","285.81","275.57","290.52","271.21","23.69M","0.34%"
"Oct 29, 2018","284.84","305.26","307.89","275.40","21.70M","-5.00%"
"Oct 26, 2018","299.83","300.51","313.99","292.30","19.62M","-4.17%"
"Oct 25, 2018","312.87","307.12","319.94","305.25","13.35M","3.66%"
"Oct 24, 2018","301.83","332.28","333.00","300.73","19.04M","-9.40%"
"Oct 23, 2018","333.16","318.00","336.58","316.77","14.91M","1.10%"
"Oct 22, 2018","329.54","333.10","335.80","320.34","17.10M","-0.94%"
"Oct 19, 2018","332.67","351.00","355.80","332.20","16.72M","-4.05%"
"Oct 18, 2018","346.71","360.67","362.20","346.05","18.46M","-4.93%"
"Oct 17, 2018","364.70","378.33","380.00","356.50","32.61M","5.28%"
"Oct 16, 2018","346.40","337.24","347.95","330.56","20.16M","3.98%"
"Oct 15, 2018","333.13","337.63","339.21","326.93","11.21M","-1.89%"
"Oct 12, 2018","339.56","339.57","341.30","328.90","14.87M","5.75%"
"Oct 11, 2018","321.10","324.94","334.20","315.81","16.08M","-1.47%"
