date,price
2020. 3. 4,178500
2020. 3. 5,181000
2020. 3. 6,179500
2020. 3. 9,168000
2020. 3. 10,172000
2020. 3. 11,170000
2020. 3. 12,166500
2020. 3. 13,166000
2020. 3. 16,155000
2020. 3. 17,151000
2020. 3. 18,146000
2020. 3. 19,144000
2020. 3. 20,154000
2020. 3. 23,143000
2020. 3. 24,156000
2020. 3. 25,156000
2020. 3. 26,152500
2020. 3. 27,164000
2020. 3. 30,162500
2020. 3. 31,170000
